Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
30.36741225,6.186700315,-3.79523443,0.04706306934,7.258187108
30.37741225,4.713920301,-4.089178931,-0.3905285168,6.252594778
30.38741125,3.325446028,-4.01550109,0.3497418487,5.225433919
30.39741125,3.221265602,-3.466791941,1.109571151,4.860694043
30.40741125,3.647602467,-3.361213446,1.162487867,5.094520353
30.41741025,4.021568161,-3.397200427,0.4480347133,5.283437926
30.42741025,4.287662081,-2.972769461,-0.7024692857,5.26449119
30.43741025,4.464290971,-1.905806386,-1.562096525,5.0992291
30.44741025,4.04045496,-0.9091408771,-2.425162513,4.799294389
30.45740925,2.936314118,-0.3975603783,-3.053746381,4.255039579
30.46740925,1.528877178,-0.0257245329,-2.583454826,3.002060295
30.47740925,0.07933546051,-0.1630747515,-1.698931897,1.708583355
30.48740825,0.5802575085,-1.032505725,-1.791531912,2.147639039
30.49740825,2.008086029,-1.540700102,-2.220356183,3.366919643
30.50740825,1.80363828,-2.236255055,-2.182431142,3.607901524
30.51740825,-0.3786011836,-2.637655007,-0.445454337,2.701664739
30.52740725,-3.98644569,-2.081807285,2.33466691,5.067182688
30.53740725,-7.400102813,-2.00644223,4.626237502,8.95485374
30.54740725,-9.211283124,-1.772136698,5.416331407,10.83165967
30.55740625,-10.44478776,-1.703721643,4.538942665,11.51513176
30.56740625,-11.17167736,-1.521687295,2.425747234,11.53282953
30.57740625,-11.7146346,-1.11598233,-0.6144827235,11.78370356
30.58740625,-12.70191124,-0.9790113035,-3.463292382,13.20194707
30.59740525,-13.64147927,-1.633921091,-4.884582108,14.58145388
30.60740525,-14.13085029,-2.884354883,-4.922618245,15.23917988
30.61740525,-14.04148262,-4.356818562,-3.650675179,15.14835078
30.62740425,-13.48099659,-6.30630862,-0.8397016829,14.90677351
30.63740425,-12.13382383,-7.849094131,3.821868204,14.94806463
30.64740425,-10.40841224,-8.656302252,8.375418969,15.91899045
