"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.169819167E-1,6.169528797E-2,-2.019528884E-1,-1.144524636E0,1.163841880E0
8.269809167E-1,9.576613650E-2,-9.367093295E-2,-1.097287320E0,1.105434240E0
8.369809167E-1,-1.719835693E-1,-7.039579868E-2,-9.386044121E-1,9.568239958E-1
8.469809167E-1,-2.937432106E-1,-1.295962259E-1,-6.875407594E-1,7.588099574E-1
8.569809167E-1,-4.396291946E-1,-1.540030888E-1,-3.888246381E-1,6.067745704E-1
8.669809167E-1,-4.977063717E-1,-2.076606479E-1,-1.634869802E-1,5.635269025E-1
8.769809167E-1,-3.898926321E-1,-3.763919958E-1,-1.064333582E-1,5.522818654E-1
8.869809167E-1,-2.613706858E-1,-5.382619286E-1,-1.591898614E-1,6.191784485E-1
8.969799167E-1,-1.773592070E-1,-6.527960193E-1,-2.325209624E-1,7.153075765E-1
9.069799167E-1,-1.496574381E-1,-6.930479595E-1,-2.737034869E-1,7.600173825E-1
9.169799167E-1,-1.559945042E-1,-7.942109299E-1,-3.253063345E-1,8.723127293E-1
9.269799167E-1,-1.422244576E-1,-8.301733527E-1,-3.834375983E-1,9.254404268E-1
9.369799167E-1,-1.278522938E-1,-8.389105546E-1,-4.232904661E-1,9.483100476E-1
9.469799167E-1,-8.284876004E-2,-7.900325096E-1,-3.488630122E-1,8.675947697E-1
9.569799167E-1,-4.379579142E-2,-6.752350017E-1,-2.657933736E-1,7.269845228E-1
9.669789167E-1,-7.875527054E-2,-5.147955903E-1,-2.417396826E-1,5.741558731E-1
9.769789167E-1,-8.445323601E-2,-3.587298962E-1,-3.372141892E-1,4.995326785E-1
9.869789167E-1,-6.496139646E-2,-2.291626140E-1,-5.256845677E-1,5.771306190E-1
9.969789167E-1,6.063767284E-2,-9.442990154E-2,-8.239767659E-1,8.315838168E-1
1.006978917E0,1.439233661E-1,2.373297125E-2,-1.095450125E0,1.105119073E0
1.016978917E0,1.643218164E-1,1.431053406E-1,-1.401382880E0,1.418222399E0
1.026978917E0,2.240692507E-1,3.116554248E-1,-1.668699453E0,1.712277430E0
1.036977917E0,2.906357078E-1,4.916341844E-1,-1.758402758E0,1.848824909E0
1.046977917E0,3.988951515E-1,6.896536508E-1,-1.692340330E0,1.870496002E0
1.056977917E0,6.373543999E-1,8.560247701E-1,-1.595457814E0,1.919501153E0
1.066977917E0,7.728001803E-1,9.939483082E-1,-1.468880798E0,1.934622484E0
1.076977917E0,7.558558264E-1,1.097644585E0,-1.351799076E0,1.898289337E0
1.086977917E0,8.125225089E-1,1.142896771E0,-1.279788861E0,1.898490291E0
